Rank,Name,Team,ByeWeek,Position,PositionRank,AverageDraftPositionPPR
172,Kimani Vidal,LAC,5,RB,RB55,172
173,San Francisco 49ers,SF,9,DST,DST4,173
174,Buckyrving,TB,11,RB,RB56,174
175,Ka'imi Fairbairn,HOU,14,K,K4,175
176,Malachi Corley,NYJ,12,WR,WR72,176
177,Jake Elliott,PHI,5,K,K5,177
178,Troy Franklin,DEN,14,WR,WR73,178
179,Hunter Henry,NE,14,TE,TE18,179
180,Will Levis,TEN,5,QB,QB24,180
181,Jonnu Smith,MIA,6,TE,TE19,181
182,Buffalo Bills,BUF,12,DST,DST5,182
183,Cleveland Browns,CLE,10,DST,DST6,183
184,Jermaine Burton,CIN,12,WR,WR74,184
185,Khalil Herbert,CHI,7,RB,RB57,185
186,Rashod Bateman,BAL,14,WR,WR75,186
187,Roman Wilson,PIT,9,WR,WR76,187
188,Braelon Allen,NYJ,12,RB,RB58,188
189,JJ McCarthy,MIN,6,QB,QB25,189
190,Javon Baker,NE,14,WR,WR77,190
191,Justin Fields,PIT,9,QB,QB26,191
192,Keaton Mitchell,BAL,14,RB,RB59,192
193,Michael Mayer,LV,10,TE,TE20,193
194,Will Shipley,PHI,5,RB,RB60,194
195,Bryce Young,CAR,11,QB,QB27,195
196,Tyrone Tracy,NYG,11,RB,RB61,196
197,Ja'Lynn Polk,NE,14,WR,WR78,197
198,Wan'Dale Robinson,NYG,11,WR,WR79,198
199,Audric Estime,DEN,14,RB,RB62,199
200,Tyler Conklin,NYJ,12,TE,TE21,200
201,Noah Fant,SEA,10,TE,TE22,201
202,Houston Texans,HOU,14,DST,DST7,202
203,Elijah Mitchell,SF,9,RB,RB63,203
204,Devontez Walker,BAL,14,WR,WR80,204
205,Russell Wilson,PIT,9,QB,QB28,205
206,Cade Otton,TB,11,TE,TE23,206
207,Demario Douglas,NE,14,WR,WR81,207
208,Demarcus Robinson,LAR,6,WR,WR82,208
209,Daniel Jones,NYG,11,QB,QB29,209
210,Malik Washington,MIA,6,WR,WR83,210
211,Isaiah Likely,BAL,14,TE,TE24,211
212,Chigoziem Okonkwo,TEN,5,TE,TE25,212
213,Dameon Pierce,HOU,14,RB,RB64,213
214,Juwan Johnson,NO,12,TE,TE26,214
215,Geno Smith,SEA,10,QB,QB30,215
216,Miles Sanders,CAR,11,RB,RB65,216
217,Ben Sinnott,WAS,14,TE,TE27,217
218,Jalen McMillan,TB,11,WR,WR84,218
219,Samaje Perine,DEN,14,RB,RB66,219
220,Miami Dolphins,MIA,6,DST,DST8,220
221,Derek Carr,NO,12,QB,QB31,221
222,Philadelphia Eagles,PHI,5,DST,DST9,222
223,Brandon McManus,WAS,14,K,K6,223
224,Jalin Hyatt,NYG,11,WR,WR85,224
225,Mike Gesicki,CIN,12,TE,TE28,225
226,D'Onta Foreman,CLE,10,RB,RB67,226
227,Luke McCaffrey,WAS,14,WR,WR86,227
228,Pittsburgh Steelers,PIT,9,DST,DST10,228
229,Rondale Moore,ATL,12,WR,WR87,229
230,Ja'Tavion Sanders,CAR,11,TE,TE29,230
231,Zay Jones,ARI,11,WR,WR88,231
232,Tyler Bass,BUF,12,K,K7,232
233,Jake Moody,SF,9,K,K8,233
234,Greg Dortch,ARI,11,WR,WR89,234
235,Tank Bigsby,JAX,12,RB,RB68,235
236,Darren Waller,NYG,11,TE,TE30,236
237,Tucker Kraft,GB,10,TE,TE31,237
238,Younghoe Koo,ATL,12,K,K9,238
239,Las Vegas Raiders,LV,10,DST,DST11,239
240,Alexander Mattison,LV,10,RB,RB69,240
241,Evan McPherson,CIN,12,K,K10,241
242,Jason Sanders,MIA,6,K,K11,242
243,Elijah Moore,CLE,10,WR,WR90,243
244,Kansas City Chiefs,KC,6,DST,DST12,244
245,Indianapolis Colts,IND,14,DST,DST13,245
246,Matt Gay,IND,14,K,K12,246
247,Isaac Guerendo,SF,9,RB,RB70,247
248,Chicago Bears,CHI,7,DST,DST14,248
249,Dylan Laube,LV,10,RB,RB71,249
250,Trey Palmer,TB,11,WR,WR91,250
251,Clyde Edwards-Helaire,KC,6,RB,RB72,251
252,Treylon Burks,TEN,5,WR,WR92,252
253,Greg Zuerlein,NYJ,12,K,K13,253
254,Kenneth Gainwell,PHI,5,RB,RB73,254
255,Dustin Hopkins,CLE,10,K,K14,255
256,Bo Nix,DEN,14,QB,QB32,256
257,Tyler Boyd,TEN,5,WR,WR93,257
258,AJ Dillon,GB,10,RB,RB74,258
259,Jason Myers,SEA,10,K,K15,259
260,Kendrick Bourne,NE,14,WR,WR94,260
261,Cameron Dicker,LAC,5,K,K16,261
262,AT Perry,NO,12,WR,WR95,262
263,Cairo Santos,CHI,7,K,K17,263
264,Darius Slayton,NYG,11,WR,WR96,264
265,Israel Abanikanda,NYJ,12,RB,RB75,265
266,Taysom Hill,NO,12,QB,QB33,266
267,Daniel Carlson,LV,10,K,K18,267
268,Zach Ertz,WAS,14,TE,TE32,268
269,Josh Reynolds,DEN,14,WR,WR97,269
270,Dawson Knox,BUF,12,TE,TE33,270
271,Gardner Minshew,LV,10,QB,QB34,271
272,Brenden Rice,LAC,5,WR,WR98,272
273,Odell Beckham,MIA,6,WR,WR99,273
274,New Orleans Saints,NO,12,DST,DST15,274
275,Jonathan Mingo,CAR,11,WR,WR100,275
276,Johnny Wilson,PHI,5,WR,WR101,276
277,New York Giants,NYG,11,DST,DST16,277
278,Evan Hull,IND,14,RB,RB76,278
279,Sam Darnold,MIN,6,QB,QB35,279
280,KJ Osborn,NE,14,WR,WR102,280
281,Greg Dulcich,DEN,14,TE,TE34,281
282,Michael Penix,ATL,12,QB,QB36,282
283,Noah Brown,HOU,14,WR,WR103,283
