Rank,Name,Team,ByeWeek,Position,PositionRank,AverageDraftPositionPPR,Status
489,Elijah Dotson,LAC,5,RB,RB126,504,ACT
490,David Moore,TB,5,WR,WR164,505,DEV
491,Max Duggan,LAC,5,QB,QB65,506,DEV
492,Olamide Zaccheaus,PHI,10,WR,WR165,507,ACT
493,Dan Arnold,PHI,10,TE,TE63,510,NA
494,Cody White,PIT,6,WR,WR166,511,CUT
495,Quintin Morris,BUF,13,TE,TE64,512,ACT
496,Ihmir Smith-Marsette,CAR,7,WR,WR167,513,ACT
497,Jordan Akins,CLE,5,TE,TE65,514,ACT
498,Khalan Laborn,SF,9,RB,RB127,515,NA
499,Tyler Scott,CHI,13,WR,WR168,517,ACT
500,Jaren Hall,MIN,13,QB,QB66,518,INA
501,Dennis Houston,NYG,13,WR,WR169,519,DEV
502,Larry Rountree,HOU,7,RB,RB128,520,DEV
503,DeAndre Carter,LV,13,WR,WR170,521,ACT
504,Charlie Kolar,BAL,13,TE,TE66,522,ACT
505,Reggie Roberson,TEN,7,WR,WR171,523,CUT
506,Jake Haener,NO,11,QB,QB67,524,RES
507,Lance McCutcheon,HOU,7,WR,WR172,525,DEV
508,Tre Tucker,LV,13,WR,WR173,527,INA
510,Kyric McGowan,WAS,14,WR,WR174,529,RES
511,Isaiah Coulter,BUF,13,WR,WR175,530,CUT
512,Zack Kuntz,NYJ,7,TE,TE67,531,DEV
513,Austin Allen,GB,6,TE,TE68,532,DEV
514,Colton Dowell,TEN,7,WR,WR176,533,INA
515,Tyrion Davis-Price,SF,9,RB,RB130,534,INA
516,Jaelon Darden,CLE,5,WR,WR177,535,DEV
517,Austin Trammell,LAR,10,WR,WR178,536,DEV
518,Stone Smartt,LAC,5,TE,TE69,537,ACT
519,Tim Jones,JAX,9,WR,WR179,538,ACT
520,Jason Moore,DET,9,WR,WR180,540,NA
521,Josh Oliver,MIN,13,TE,TE70,541,ACT
522,Jody Fortson,KC,10,TE,TE71,542,NA
523,Malik Taylor,NYJ,7,WR,WR181,543,CUT
524,Ashton Dulin,IND,11,WR,WR182,544,RES
525,Trinity Benson,DET,9,WR,WR183,545,CUT
526,Brycen Hopkins,LAR,10,TE,TE72,546,ACT
527,Sincere McCormick,LV,13,RB,RB131,548,DEV
528,Nikola Kalinic,LAR,10,TE,TE73,549,DEV
529,Dorian Thompson-Robinson,CLE,5,QB,QB68,550,ACT
530,Jadon Haselwood,PHI,10,WR,WR184,551,CUT
531,Ben DiNucci,DEN,9,QB,QB69,552,DEV
532,Cameron Latu,SF,9,TE,TE74,553,RES
533,Dax Milne,WAS,14,WR,WR185,554,RES
535,Dontario Drummond,DAL,7,WR,WR186,556,CUT
536,Josiah Deguara,GB,6,TE,TE75,557,ACT
537,Davis Allen,LAR,10,TE,TE76,558,ACT
538,John FitzPatrick,ATL,11,TE,TE77,559,INA
539,Armani Rogers,WAS,14,TE,TE78,560,RES
540,Makai Polk,BAL,13,WR,WR187,561,NA
541,Gerrit Prince,KC,10,TE,TE79,563,DEV
542,Deven Thompkins,TB,5,WR,WR188,564,ACT
543,Tanner McKee,PHI,10,QB,QB70,565,INA
544,Jeremy Ruckert,NYJ,7,TE,TE80,566,ACT
545,Lew Nichols,GB,6,RB,RB133,567,CUT
546,Kevin Austin,JAX,9,WR,WR189,568,CUT
547,Snoop Conner,JAX,9,RB,RB134,569,DEV
548,Jack Stoll,PHI,10,TE,TE81,570,ACT
549,Jashaun Corbin,CAR,7,RB,RB135,571,DEV
550,James Mitchell,DET,9,TE,TE82,572,ACT
551,Joseph Ngata,PHI,10,WR,WR190,574,DEV
552,Tommy Tremble,CAR,7,TE,TE83,575,ACT
553,Andreiosivas,CIN,7,WR,WR191,576,ACT
554,Kevin Harris,NE,11,RB,RB136,577,DEV
555,Teagan Quitoriano,HOU,7,TE,TE84,578,ACT
556,Britain Covey,PHI,10,WR,WR192,579,ACT
557,John Hightower,LAC,5,WR,WR193,581,CUT
558,Anthony Schwartz,CLE,5,WR,WR194,582,RES
559,Pharaoh Brown,NE,11,TE,TE85,583,ACT
560,Payne Durham,TB,5,TE,TE86,584,INA
561,Julius Chestnut,TEN,7,RB,RB137,585,ACT
562,JJ Taylor,NE,11,RB,RB138,586,CUT
563,Jalen Nailor,MIN,13,WR,WR195,587,ACT
565,Chris Brooks,MIA,10,RB,RB140,589,NA
566,Tre' McKitty,LAC,5,TE,TE87,590,ACT
568,Antoine Green,DET,9,WR,WR196,592,ACT
569,Dyami Brown,WAS,14,WR,WR197,593,ACT
570,Jaret Patterson,WAS,14,RB,RB142,594,CUT
571,Michael Woods,CLE,5,WR,WR198,595,NA
572,Darwin Thompson,LV,13,RB,RB143,596,CUT
573,Kaden Smith,WAS,14,TE,TE88,598,RES
574,Diontae Spencer,NYJ,7,WR,WR199,599,NA
575,JJ Arcega-Whiteside,ATL,11,WR,WR200,600,CUT
577,Erik Ezukanma,MIA,10,WR,WR201,603,ACT
578,Bryce Ford-Wheaton,NYG,13,WR,WR202,604,RES
579,Emari Demercado,ARI,14,RB,RB145,605,ACT
580,Seth Williams,JAX,9,WR,WR203,606,DEV
581,Camerun Peoples,CAR,7,RB,RB146,607,CUT
582,Clayton Tune,ARI,14,QB,QB71,609,ACT
583,Master Teague,PIT,6,RB,RB147,610,NA
584,Byron Pringle,WAS,14,WR,WR204,611,ACT
585,Will Mallory,IND,11,TE,TE89,612,INA
586,SaRodorick Thompson,SEA,5,RB,RB148,613,DEV
587,Mitchell Wilcox,CIN,7,TE,TE90,614,ACT
588,Simi Fehoko,PIT,6,WR,WR205,615,DEV
589,Zach Gentry,CIN,7,TE,TE91,616,DEV
590,Josh Whyle,TEN,7,TE,TE92,617,ACT
591,Jake Funk,IND,11,RB,RB149,618,ACT
592,Dre Miller,GB,6,TE,TE93,619,CUT
593,Brevin Jordan,HOU,7,TE,TE94,620,ACT
594,Matthew Slater,NE,11,WR,WR206,621,NA
595,Skylar Thompson,MIA,10,QB,QB72,622,INA
596,Lucas Krull,DEN,9,TE,TE95,623,DEV
597,Steven Sims,HOU,7,WR,WR207,624,DEV
599,Tyree Jackson,NYG,13,TE,TE96,626,DEV
600,Miles Boykin,PIT,6,WR,WR208,628,ACT
601,Lil'Jordan Humphrey,DEN,9,WR,WR209,629,ACT
602,John Bates,WAS,14,TE,TE97,631,ACT
603,Tanner Hudson,CIN,7,TE,TE98,632,DEV
604,Jalen Reagor,NE,11,WR,WR210,633,DEV
605,Nick Bowers,MIA,10,TE,TE99,634,DEV
606,Jameis Winston,NO,11,QB,QB73,635,ACT
607,Rodrigo Blankenship,TB,5,K,K40,636,NA
608,Hakeem Butler,PIT,6,WR,WR211,637,CUT
609,Brayden Willis,SF,9,TE,TE100,639,INA
610,Mo Alie-Cox,IND,11,TE,TE101,640,ACT
611,Keke Coutee,MIA,10,WR,WR212,641,CUT
612,Teddy Bridgewater,DET,9,QB,QB74,642,ACT
613,Tyler Mabry,SEA,5,TE,TE102,643,DEV
614,Patrick Taylor,GB,6,RB,RB151,644,ACT
615,Dan Chisena,PIT,6,WR,WR213,645,CUT
616,Christopher Dunn,LAR,10,K,K41,646,NA
617,Derrick Gore,WAS,14,RB,RB152,647,DEV
618,KaVontae Turpin,DAL,7,WR,WR214,648,NA
619,Jeff Smith,NYG,13,WR,WR215,649,NA
620,Cole Beasley,NYG,13,WR,WR216,650,DEV
621,Blake Bell,KC,10,TE,TE103,651,ACT
622,Jared Pinkney,CHI,13,TE,TE104,652,CUT
623,Jalen Guyton,LAC,5,WR,WR217,654,RES
624,Robbie Chosen,MIA,10,WR,WR218,655,NA
625,James Proche,BAL,13,WR,WR219,656,CUT
626,Nelson Agholor,BAL,13,WR,WR220,657,ACT
627,Marquise Goodwin,CLE,5,WR,WR221,658,ACT
628,Grant Calcaterra,PHI,10,TE,TE105,660,ACT
629,Malik Willis,TEN,7,QB,QB75,661,ACT
630,Justice Hill,BAL,13,RB,RB153,662,ACT
631,Matt Barkley,BUF,13,QB,QB76,663,RES
632,Jesper Horsted,LV,13,TE,TE106,664,ACT
633,John Kelly,CLE,5,RB,RB154,665,CUT
634,Andysabella,BUF,13,WR,WR222,666,DEV
635,Kirk Merritt,NO,11,WR,WR223,667,ACT
636,Penny Hart,ATL,11,WR,WR224,668,RES
637,Mike Strachan,IND,11,WR,WR225,669,DEV
638,Lawrence Cager,NYG,13,TE,TE107,670,ACT
639,Trace McSorley,NE,11,QB,QB77,671,CUT
640,Chris Streveler,NYJ,7,QB,QB78,672,NA
641,Blaine Gabbert,KC,10,QB,QB79,673,ACT
643,Kylen Granson,IND,11,TE,TE108,676,ACT
644,La'Mical Perine,KC,10,RB,RB156,677,DEV
645,Anthony Brown,BAL,13,QB,QB80,679,CUT
646,Noah Togiai,ARI,14,TE,TE109,680,CUT
647,Reid Sinnett,CIN,7,QB,QB81,682,CUT
648,Maurice Alexander,DET,9,WR,WR226,684,DEV
649,Ja'Marcus Bradley,PIT,6,WR,WR227,685,NA
650,Travis Homer,CHI,13,RB,RB157,686,ACT
651,Jacob Harris,JAX,9,WR,WR228,687,DEV
652,Dezmon Patmon,CAR,7,WR,WR229,689,DEV
653,N'Keal Harry,MIN,13,WR,WR230,691,DEV
654,Stephen Sullivan,CAR,7,TE,TE110,692,RES
655,Bryan Edwards,NO,11,WR,WR231,693,NA
656,Collin Johnson,NYG,13,WR,WR232,694,CUT
657,Shane Buechele,BUF,13,QB,QB82,695,DEV
658,Freddie Swain,MIA,10,WR,WR233,696,CUT
659,Laquon Treadwell,BAL,13,WR,WR234,697,DEV
660,Feleipe Franks,ATL,11,TE,TE111,698,RES
661,Ray-Ray McCloud,SF,9,WR,WR235,699,ACT
662,Tyler Johnson,LAR,10,WR,WR236,700,DEV
663,CJ Saunders,ATL,11,WR,WR237,703,DEV
664,Brandon Allen,SF,9,QB,QB83,704,INA
665,Ko Kieft,TB,5,TE,TE112,707,ACT
666,James McCourt,JAX,9,K,K42,709,CUT
667,Gerrid Doaks,HOU,7,RB,RB158,710,CUT
668,Sean McKeon,DAL,7,TE,TE113,711,DEV
669,Jacob Eason,CAR,7,QB,QB84,712,NA
670,Drew Sample,CIN,7,TE,TE114,714,ACT
671,Jalen Virgil,DEN,9,WR,WR238,715,RES
672,Jonathan Ward,TEN,7,RB,RB159,716,CUT
673,Miller Forristall,CLE,5,TE,TE115,717,CUT
674,Cornell Powell,KC,10,WR,WR239,719,DEV
676,Kellen Mond,CLE,5,QB,QB85,722,CUT
677,Jake Fromm,WAS,14,QB,QB86,723,DEV
678,Trent Taylor,CHI,13,WR,WR240,724,ACT
679,Danny Etling,GB,6,QB,QB87,725,NA
680,Jason Huntley,IND,11,RB,RB161,727,DEV
681,Kawaan Baker,NO,11,WR,WR241,728,CUT
682,Eno Benjamin,NO,11,RB,RB162,729,RES
683,Ian Book,PHI,10,QB,QB88,730,CUT
684,Gunner Olszewski,PIT,6,WR,WR242,732,INA
685,Curtis Hodges,WAS,14,TE,TE116,733,INA
686,Easop Winston,SEA,5,WR,WR243,734,DEV
687,Nick Foles,IND,11,QB,QB89,735,NA
688,Sam Ehlinger,IND,11,QB,QB90,736,INA
689,Dazz Newsome,SF,9,WR,WR244,737,NA
690,Dominique Dafney,TB,5,TE,TE117,738,RES
691,Josh Johnson,BAL,13,QB,QB91,739,ACT
692,Anthony McFarland,PIT,6,RB,RB163,740,ACT
693,Mohamedbrahim,DET,9,RB,RB164,743,CUT
694,Case Keenum,HOU,7,QB,QB92,744,INA
695,Kenny Yeboah,NYJ,7,TE,TE118,745,RES
696,Tyler Kroft,MIA,10,TE,TE119,746,ACT
697,DeeJay Dallas,SEA,5,RB,RB165,747,ACT
698,River Cracraft,MIA,10,WR,WR245,748,ACT
699,Tucker Kraft,GB,6,TE,TE120,749,ACT
700,Cody Thompson,SEA,5,WR,WR246,750,ACT
701,Scotty Miller,ATL,11,WR,WR247,751,NA
702,Denzel Mims,DET,9,WR,WR248,752,NA
703,Avery Williams,ATL,11,RB,RB166,753,RES
704,Ian Thomas,CAR,7,TE,TE121,755,ACT
705,Tanner Conner,MIA,10,TE,TE122,757,DEV
706,Marcedes Lewis,CHI,13,TE,TE123,759,ACT
707,Easton Stick,LAC,5,QB,QB93,761,ACT
708,Tanner Morgan,PIT,6,QB,QB94,762,CUT
709,Luke Farrell,JAX,9,TE,TE124,763,ACT
710,Tony Jones,NO,11,RB,RB167,764,ACT
711,Kene Nwangwu,MIN,13,RB,RB168,765,RES
712,Samori Toure,GB,6,WR,WR249,768,ACT
713,Tre Nixon,NE,11,WR,WR250,769,RES
714,Harrison Bryant,CLE,5,TE,TE125,770,ACT
715,Michael Bandy,DEN,9,WR,WR251,771,CUT
716,Devin Asiasi,CIN,7,TE,TE126,772,CUT
717,Trevon Wesco,TEN,7,TE,TE127,773,ACT
718,Mason Kinsey,TEN,7,WR,WR252,775,DEV
719,Darrynton Evans,MIA,10,RB,RB169,776,DEV
720,Cade Johnson,SEA,5,WR,WR253,777,DEV
721,Velus Jones,CHI,13,WR,WR254,778,INA
722,Frank Darby,ATL,11,WR,WR255,779,NA
723,Jonnu Smith,ATL,11,TE,TE128,781,ACT
724,Jalen Camp,HOU,7,WR,WR256,782,CUT
725,Benny Snell,DET,9,RB,RB170,783,CUT
726,Damarea Crockett,NYJ,7,RB,RB171,784,NA
727,Xavier Hutchinson,HOU,7,WR,WR257,786,ACT
728,Charlie Woerner,SF,9,TE,TE129,787,ACT
729,Brittain Brown,LV,13,RB,RB172,788,RES
730,Javon Wims,CAR,7,WR,WR258,790,CUT
731,Sammis Reyes,JAX,9,TE,TE130,791,RET
732,Isaiah Weston,CLE,5,WR,WR259,792,RET
733,Marquez Stevenson,CAR,7,WR,WR260,793,PUP
734,Marquez Callaway,LV,13,WR,WR261,794,DEV
735,Raleigh Webb,MIA,10,WR,WR262,796,DEV
736,Tyrie Cleveland,PHI,10,WR,WR263,797,CUT
737,DJ Turner,LV,13,WR,WR264,798,NA
738,Dez Fitzpatrick,PIT,6,WR,WR265,799,DEV
739,Jake Browning,CIN,7,QB,QB95,800,ACT
740,Jalen Wydermyer,IND,11,TE,TE131,801,NA
741,Nick Mullens,MIN,13,QB,QB96,802,ACT
743,Kendric Pryor,JAX,9,WR,WR266,805,CUT
744,Joe Reed,CHI,13,WR,WR267,806,RES
745,Quintez Cephus,DET,9,WR,WR268,807,NA
746,Dee Eskridge,SEA,5,WR,WR269,808,NA
747,Antoine Wesley,LV,13,WR,WR270,809,DEV
748,Ross Dwelley,SF,9,TE,TE132,810,ACT
749,Dareke Young,SEA,5,WR,WR271,811,RES
750,Dare Ogunbowale,HOU,7,RB,RB174,812,INA
751,Tajae Sharpe,SF,9,WR,WR272,815,NA
752,PJ Walker,CLE,5,QB,QB97,816,NA
753,Jaydon Mickens,NYG,13,WR,WR273,817,NA
754,Nate Sudfeld,DET,9,QB,QB98,818,RES
755,Demarcus Robinson,LAR,10,WR,WR274,819,ACT
756,Dwayne Washington,DEN,9,RB,RB175,820,DEV
757,Mason Rudolph,PIT,6,QB,QB99,823,INA
759,Eric Saubert,MIA,10,TE,TE133,826,RES
760,David Blough,DET,9,QB,QB100,827,DEV
761,Jacob Hollister,LV,13,TE,TE134,832,CUT
762,Zach Pascal,ARI,14,WR,WR275,833,ACT
763,Jonathan Williams,WAS,14,RB,RB177,834,RES
765,Jace Sternberger,BUF,13,TE,TE135,836,CUT
766,CJ Beathard,JAX,9,QB,QB101,837,ACT
767,Damien Williams,LV,13,RB,RB179,838,CUT
768,Jamison Crowder,WAS,14,WR,WR276,841,ACT
769,Joey Slye,WAS,14,K,K43,843,ACT
770,Ty Johnson,BUF,13,RB,RB180,846,DEV
771,Breshad Perriman,IND,11,WR,WR277,847,CUT
772,Nathan Peterman,CHI,13,QB,QB102,850,ACT
773,Alex Erickson,LAC,5,WR,WR278,851,DEV
774,Willie Snead,SF,9,WR,WR279,852,DEV
775,Jesse James,NO,11,TE,TE136,854,CUT
776,Phillip Dorsett,DEN,9,WR,WR280,855,ACT
777,Adam Humphries,HOU,7,WR,WR281,856,CUT
778,Ameer Abdullah,LV,13,RB,RB181,857,ACT
779,Damiere Byrd,CAR,7,WR,WR282,860,NA
780,Godwingwebuike,ATL,11,RB,RB182,862,ACT
781,Chris Conley,SF,9,WR,WR283,863,DEV
782,Jeff Driskel,ARI,14,QB,QB103,866,DEV
783,Taiwan Jones,NYG,13,RB,RB183,867,ACT
784,Nick Vannett,LAC,5,TE,TE137,869,DEV
785,Chris Lacy,LV,13,WR,WR284,874,RES
786,Brandon Bolden,LV,13,RB,RB184,875,ACT
787,Brian Hoyer,LV,13,QB,QB104,878,ACT
788,Ben Ellefson,MIN,13,TE,TE138,879,RET
789,MyCole Pruitt,ATL,11,TE,TE139,883,ACT
790,Eric Tomlinson,HOU,7,TE,TE140,889,CUT
791,Matthew Wright,SF,9,K,K44,892,DEV
792,Chris Manhertz,DEN,9,TE,TE141,896,ACT
793,Kevin Rader,TEN,7,TE,TE142,899,DEV
794,Tre'Quan Smith,NO,11,WR,WR285,902,RES
795,Zane Gonzalez,SF,9,K,K45,903,RES
796,KeeSean Johnson,BUF,13,WR,WR286,906,CUT
797,Kendall Blanton,KC,10,TE,TE143,907,CUT
798,Austin Walter,LV,13,RB,RB185,909,RES
799,Tommy Sweeney,NYG,13,TE,TE144,910,RES
800,Juwann Winfree,IND,11,WR,WR287,911,ACT
801,John Wolford,TB,5,QB,QB105,912,DEV
802,Tom Kennedy,DET,9,WR,WR288,914,NA
803,Royce Freeman,LAR,10,RB,RB186,915,DEV
804,Jeremy McNichols,SF,9,RB,RB187,918,CUT
805,James Washington,IND,11,WR,WR289,919,CUT
806,Patrick Laird,TB,5,RB,RB188,920,DEV
807,Mike Thomas,BAL,13,WR,WR290,921,NA
808,Qadree Ollison,PIT,6,RB,RB189,922,DEV
809,Malik Turner,IND,11,WR,WR291,924,CUT
810,Daurice Fountain,DET,9,WR,WR292,925,DEV
811,Mike Boone,HOU,7,RB,RB190,926,ACT
812,Brett Rypien,LAR,10,QB,QB106,927,ACT
813,Parker Hesse,ATL,11,TE,TE145,928,ACT
814,Justin Jackson,DET,9,RB,RB191,929,RET
815,Tommy Hudson,NO,11,TE,TE146,930,DEV
816,Tyron Billy-Johnson,DAL,7,WR,WR293,932,NA
817,Vyncint Smith,IND,11,WR,WR294,933,CUT
818,Ty'Son Williams,ARI,14,RB,RB192,935,CUT
819,Myles Gaskin,MIN,13,RB,RB193,937,ACT
820,Kendall Hinton,DEN,9,WR,WR295,939,CUT
821,Kristian Wilkerson,LV,13,WR,WR296,940,ACT
822,Stanley Morgan,CIN,7,WR,WR297,941,DEV
823,Devine Ozigbo,DET,9,RB,RB194,942,NA
824,David Sills,DEN,9,WR,WR298,943,DEV
825,Preston Williams,CAR,7,WR,WR299,944,NA
826,Andre Baccellia,ARI,14,WR,WR300,945,DEV
827,Greg Ward,PHI,10,WR,WR301,947,DEV
828,Tim Boyle,NYJ,7,QB,QB107,948,DEV
829,Johnny Mundt,MIN,13,TE,TE147,949,ACT
830,Mason Schreck,HOU,7,TE,TE148,950,CUT
831,Logan Woodside,ATL,11,QB,QB108,952,INA
832,Ricky Seals-Jones,IND,11,TE,TE149,954,RES
833,Geoff Swaim,ARI,14,TE,TE150,955,ACT
834,OJ Howard,LV,13,TE,TE151,956,NA
835,Marcus Kemp,WAS,14,WR,WR302,962,CUT
836,John Ross,KC,10,WR,WR303,964,RET
837,Jake Luton,CAR,7,QB,QB109,966,CUT
838,Keith Kirkwood,NO,11,WR,WR304,967,ACT
839,Keelan Cole,LV,13,WR,WR305,968,DEV
840,Matt Sokol,NE,11,TE,TE152,969,DEV
841,Brandon Powell,MIN,13,WR,WR306,970,ACT
842,Nsimba Webster,CHI,13,WR,WR307,972,DEV
843,Keelan Doss,LAC,5,WR,WR308,973,DEV
844,Jamal Agnew,JAX,9,WR,WR309,975,ACT
845,Cam Sims,NYG,13,WR,WR310,976,DEV
846,Anthony Firkser,NE,11,TE,TE153,977,CUT
847,Will Grier,CIN,7,QB,QB110,979,DEV
848,Jordan Wilkins,CLE,5,RB,RB195,980,NA
849,Dontayvion Wicks,GB,6,WR,WR311,984,ACT
850,Xavier Gipson,NYJ,7,WR,WR312,985,ACT
851,Anthony Miller,SF,9,WR,WR313,986,CUT
852,Jerrion Ealy,KC,10,WR,WR314,988,CUT
853,Tyler Goodson,GB,6,RB,RB196,989,RES
854,Jalen Cropper,DAL,7,WR,WR315,990,NA
855,Drew Ogletree,IND,11,TE,TE154,991,NA
856,Tyson Bagent,CHI,13,QB,QB111,992,INA
857,Zach Davidson,BUF,13,TE,TE155,993,RES
858,Jaleel McLaughlin,DEN,9,RB,RB197,994,ACT
859,Shane Zylstra,DET,9,TE,TE156,995,RES
860,Danny Gray,SF,9,WR,WR316,996,RES
861,Mitchell Tinsley,WAS,14,WR,WR317,997,INA
862,Rakim Jarrett,TB,5,WR,WR318,998,ACT
863,Nate McCrary,GB,6,RB,RB198,999,CUT
864,Parker Washington,JAX,9,WR,WR319,1000,INA
