returnTD,defTD,safeties,teamID,fumbleRecoveries,ptsAgainst,teamAbv,interceptions,sacks,blockKick,fantasyPointsDefault,week
0.1,0.1,0.0,21,0.4,28,MIN,0.5,1.6,0.0,2.6,5
0.1,0.1,0.1,22,0.5,21.5,NE,0.7,2.2,0.0,8.0,6
0,0.1,0.1,23,0.5,19.8,NO,0.8,2.5,0.1,10.0,6
0,0.1,0.1,24,0.4,29.5,NYG,0.5,1.7,0.0,2.3,6
0,0.1,0.1,25,0.5,24.3,NYJ,0.7,2.3,0.0,7.5,6
0,0,0,26,0,0,PIT,0,0,0,10.0,6
0,0.2,0.1,27,0.6,18.5,PHI,0.9,2.7,0.1,11.2,6
0,0.2,0.1,28,0.6,17,SF,0.9,2.9,0.1,11.4,6
0,0.1,0.1,29,0.5,24.3,SEA,0.7,2.1,0.1,7.4,6
0,0.1,0.1,30,0.5,23,TB,0.7,2.2,0.1,7.5,6
0,0.1,0.1,31,0.5,24,TEN,0.8,2.3,0.1,7.8,6
0,0.1,0.1,32,0.5,21.8,WSH,0.7,2.3,0.1,7.6,6
0,0.1,0.0,10,0.4,29,DEN,0.5,1.5,0.0,1.9,6
0,0.1,0.1,11,0.5,20,DET,0.7,2.4,0.1,9.7,6
0,0,0,12,0,0,GB,0,0,0,10.0,6
0,0.1,0.1,13,0.5,22.3,HOU,0.7,2.2,0.1,7.5,6
0,0.1,0.1,14,0.5,24,IND,0.6,2.0,0.1,7.1,6
0,0.1,0.1,15,0.5,20,JAX,0.7,2.4,0.1,9.7,6
0.1,0.1,0.1,16,0.5,18.5,KC,0.9,2.5,0.1,10.8,6
0,0.1,0.1,17,0.6,20,LV,0.7,2.4,0.1,9.9,6
0,0.1,0.1,18,0.4,25,LAC,0.6,2.0,0.1,6.9,6
0,0.1,0.1,19,0.6,20.5,LAR,0.8,2.5,0.1,10.2,6
0,0.1,0.1,1,0.4,27.5,ARI,0.5,1.8,0.1,6.5,6
0,0.1,0.1,2,0.6,20.3,ATL,0.8,2.7,0.1,10.4,6
0.1,0.1,0.1,3,0.6,18.3,BAL,0.8,2.4,0.1,10.7,6
0,0.2,0.1,4,0.6,14,BUF,0.9,2.8,0.1,11.3,6
0,0.1,0.0,5,0.4,30.8,CAR,0.5,1.7,0.0,2.1,6
0,0.1,0.1,6,0.5,23.8,CHI,0.7,2,0.1,7.3,6
0,0.1,0.1,7,0.5,21.3,CIN,0.7,2.3,0.1,7.6,6
0,0.1,0.0,8,0.5,22.8,CLE,0.7,2.2,0.0,7.2,6
