Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingYards,PassingTouchdowns,PassingInterceptions,RushingAttempts,RushingYards,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,FantasyPointsPerGamePPR,FantasyPointsPPR
568,DJ Moore,CHI,WR,14,DET,0,0,0,0,0,0.4,1.3,0,6.9,5.2,74.7,0.4,15.2,15.2
568,Adam Thielen,CAR,WR,10,CHI,0,0,0,0,0,0.02,0.1,0,8.3,6.3,64.9,0.4,15.2,15.2
571,Deebo Samuel Sr.,SF,WR,15,ARI,0,0,0,0,0,2.7,14.8,0.2,6,4.6,63,0.3,15.2,15.18
571,Chris Olave,NO,WR,18,ATL,0,0,0,0,0,0.02,0.1,0,9.2,5.5,72.7,0.4,15.2,15.18
573,Mike Evans,TB,WR,16,JAX,0,0,0,0,0,0.02,0.1,0,8,4.9,72.6,0.5,15.2,15.17
574,Joshua Dobbs,ARI,QB,5,CIN,20.4,32.4,213.4,1.2,0.7,4.6,24.2,0.2,0,0,0,0,15.2,15.16
575,Dak Prescott,DAL,QB,5,SF,23.1,34.5,240.1,1.4,0.8,2.9,11.5,0.1,0,0,0,0,15.2,15.15
575,Chris Olave,NO,WR,4,TB,0,0,0,0,0,0.1,0.1,0,7.9,5.4,75.4,0.4,15.2,15.15
577,Jaylen Waddle,MIA,WR,9,KC,0,0,0,0,0,0.3,1.8,0,7.2,5.3,72.6,0.4,15.1,15.14
577,Puka Nacua,LAR,WR,5,PHI,0,0,0,0,0,0.2,0.9,0,7.4,5.8,68.5,0.4,15.1,15.14
579,Jonathan Taylor,IND,RB,10,NE,0,0,0,0,0,16.9,70.1,0.5,4.2,3,17.2,0.1,15.1,15.13
579,DeAndre Hopkins,TEN,WR,6,BAL,0,0,0,0,0,0,0,0,8.4,5.8,69.3,0.4,15.1,15.13
581,Joe Mixon,CIN,RB,10,HOU,0,0,0,0,0,15.8,65.7,0.5,4.1,3.3,18.5,0.1,15.1,15.12
581,Chris Olave,NO,WR,14,CAR,0,0,0,0,0,0.02,0.1,0,7.1,5.3,74.1,0.4,15.1,15.12
583,Jordan Love,GB,QB,17,MIN,21.3,33.1,232.1,1.5,0.8,2.7,12.3,0.1,0,0,0,0,15.1,15.11
583,Geno Smith,SEA,QB,16,TEN,21.6,31.7,241.9,1.4,0.8,2.7,10.3,0.1,0,0,0,0,15.1,15.11
583,Breece Hall,NYJ,RB,8,NYG,0,0,0,0,0,17.1,78,0.5,3.4,2.5,14.1,0.1,15.1,15.11
583,DJ Moore,CHI,WR,6,MIN,0,0,0,0,0,0.3,1.4,0,7.4,5,71.7,0.5,15.1,15.11
587,Jared Goff,DET,QB,7,BAL,21.8,33.7,244.7,1.5,0.7,1.9,5.1,0.1,0,0,0,0,15.1,15.1
587,Breece Hall,NYJ,RB,9,LAC,0,0,0,0,0,15.2,70.4,0.5,3.2,2.7,19.6,0.1,15.1,15.1
589,Sam Howell,WAS,QB,9,NE,22.3,35.4,235.9,1.3,1,3.8,16.5,0.2,0,0,0,0,15.1,15.09
589,Travis Etienne Jr.,JAX,RB,12,HOU,0,0,0,0,0,15.7,67.5,0.5,3.8,3,19.4,0.1,15.1,15.09
589,Jaylen Waddle,MIA,WR,6,CAR,0,0,0,0,0,0.3,1.8,0,7.1,4.8,71.1,0.5,15.1,15.09
589,Davante Adams,LV,WR,17,IND,0,0,0,0,0,0.02,0.1,0,9.9,5.7,69.8,0.4,15.1,15.09
593,Baker Mayfield,TB,QB,18,CAR,20.2,32.7,226.4,1.5,0.7,3.2,10.2,0.1,0,0,0,0,15.1,15.08
593,Rashee Rice,KC,WR,16,LV,0,0,0,0,0,0.02,0.1,0,7.6,5.6,64.7,0.5,15.1,15.08
595,DK Metcalf,SEA,WR,18,ARI,0,0,0,0,0,0.1,0.3,0,7.2,4.9,71.4,0.5,15.1,15.07
595,Jaylen Waddle,MIA,WR,14,TEN,0,0,0,0,0,0.3,1.6,0,6.5,5.4,71.1,0.4,15.1,15.07
597,Tyrod Taylor,NYG,QB,18,PHI,19.2,30,202.7,1.1,0.6,5.4,27.5,0.2,0,0,0,0,15.1,15.06
597,Mac Jones,NE,QB,2,MIA,21.8,33.1,235.4,1.5,0.8,2.4,8.4,0.1,0,0,0,0,15.1,15.06
599,Travis Etienne Jr.,JAX,RB,13,CIN,0,0,0,0,0,15.9,68.1,0.5,3.6,2.9,19.3,0.1,15,15.04
599,Tony Pollard,DAL,RB,13,SEA,0,0,0,0,0,14.2,62.6,0.5,4.3,3.4,19.8,0.1,15,15.04
599,Ezekiel Elliott,NE,RB,15,KC,0,0,0,0,0,18,67.2,0.3,4.9,3.5,26.2,0.1,15,15.04
599,Alvin Kamara,NO,RB,5,NE,0,0,0,0,0,13.4,55.4,0.3,5.4,4.2,25,0.2,15,15.04
603,Russell Wilson,DEN,QB,3,MIA,20.1,30.9,223.5,1.4,0.7,3.5,16.9,0.1,0,0,0,0,15,15.03
603,Kyler Murray,ARI,QB,15,SF,20.2,31.9,205.9,1.1,0.8,5.6,27.9,0.3,0,0,0,0,15,15.03
603,Joe Mixon,CIN,RB,5,ARI,0,0,0,0,0,17.3,72,0.5,3.7,2.8,16.3,0.1,15,15.03
603,Jaylen Waddle,MIA,WR,15,NYJ,0,0,0,0,0,0.3,1,0,9.8,5.5,70.3,0.4,15,15.03
607,Derek Carr,NO,QB,1,TEN,20.7,31.3,242.6,1.6,0.7,1.6,5.2,0,0,0,0,0,15,15.02
607,Mark Andrews,BAL,TE,8,ARI,0,0,0,0,0,0,0,0,7.5,5.3,61.2,0.6,15,15.02
609,Kyren Williams,LAR,RB,13,CLE,0,0,0,0,0,16,68.5,0.5,4,2.8,17.6,0.1,15,15.01
610,Jimmy Garoppolo,LV,QB,5,GB,21.6,33.6,244.6,1.5,1,2.6,8.2,0.1,0,0,0,0,15,15
610,Bijan Robinson,ATL,RB,16,IND,0,0,0,0,0,12.4,56.5,0.4,4.6,3.3,26.5,0.2,15,15
610,Puka Nacua,LAR,WR,3,CIN,0,0,0,0,0,0.3,1.8,0,8.6,5.7,69.2,0.4,15,15
613,Jordan Love,GB,QB,8,MIN,19.1,31.1,213.8,1.4,0.9,3.5,16.4,0.2,0,0,0,0,15,14.99
613,Travis Etienne Jr.,JAX,RB,18,TEN,0,0,0,0,0,15.4,64.3,0.5,3.6,2.9,22.6,0.1,15,14.99
615,Baker Mayfield,TB,QB,12,IND,21.7,34.2,235.7,1.4,0.8,3.7,13.5,0.1,0,0,0,0,15,14.98
615,Tua Tagovailoa,MIA,QB,15,NYJ,21.3,32.2,245.8,1.5,0.8,1.7,5.5,0.1,0,0,0,0,15,14.98
615,Zack Moss,IND,RB,14,CIN,0,0,0,0,0,19.5,80.9,0.6,2.7,1.8,10.9,0.1,15,14.98
615,Jonathan Taylor,IND,RB,17,LV,0,0,0,0,0,19.6,74.7,0.6,3.2,2.3,14.1,0.1,15,14.98
615,Brandon Aiyuk,SF,WR,11,TB,0,0,0,0,0,0.3,1.1,0,6.3,4.8,70.7,0.5,15,14.98
620,Isiah Pacheco,KC,RB,6,DEN,0,0,0,0,0,16.3,74,0.6,3,2.2,13.7,0.1,15,14.97
620,Travis Etienne Jr.,JAX,RB,4,ATL,0,0,0,0,0,15.8,74.2,0.4,3.9,3,17.5,0.1,15,14.97
620,Jaylen Waddle,MIA,WR,16,DAL,0,0,0,0,0,0.3,1.4,0,7.7,5.4,70.3,0.4,15,14.97
623,C.J. Stroud,HOU,QB,9,TB,20.5,32.8,239,1.4,0.7,2.6,10,0.1,0,0,0,0,15,14.96
623,Russell Wilson,DEN,QB,10,BUF,18.7,28.8,203.4,1.4,0.6,4.3,22.2,0.1,0,0,0,0,15,14.96
623,Breece Hall,NYJ,RB,10,LV,0,0,0,0,0,16.6,71.2,0.5,3.5,2.8,16.4,0.1,15,14.96
626,Jordan Love,GB,QB,11,LAC,19.3,31.3,224.8,1.4,0.8,3.4,15.6,0.1,0,0,0,0,15,14.95
626,Josh Jacobs,LV,RB,14,MIN,0,0,0,0,0,18.7,77.6,0.5,3.3,2.4,13.9,0.1,15,14.95
628,Derrick Henry,TEN,RB,5,IND,0,0,0,0,0,18.9,80,0.6,2.4,1.7,12.4,0.1,14.9,14.94
628,Jaylen Waddle,MIA,WR,7,PHI,0,0,0,0,0,0.2,1.5,0,7.3,5.2,71.9,0.4,14.9,14.94
630,Baker Mayfield,TB,QB,10,TEN,21.5,33.9,232,1.4,0.8,4,14.5,0.1,0,0,0,0,14.9,14.93
631,Gardner Minshew II,IND,QB,12,TB,21.9,33.4,241.1,1.4,0.8,2.7,10.8,0.2,0,0,0,0,14.9,14.92
631,Joe Mixon,CIN,RB,2,BAL,0,0,0,0,0,15.3,60.5,0.5,4.4,3.5,19.7,0.1,14.9,14.92
633,Brandon Aiyuk,SF,WR,14,SEA,0,0,0,0,0,0.2,0.7,0,5.9,4.8,70.4,0.5,14.9,14.91
633,Keenan Allen,LAC,WR,1,MIA,0,0,0,0,0,0.1,0.5,0,7.8,6,66.6,0.4,14.9,14.91
635,Gardner Minshew II,IND,QB,14,CIN,20.9,33.1,238.4,1.2,0.7,3,11.6,0.2,0,0,0,0,14.9,14.9
636,DeVonta Smith,PHI,WR,13,SF,0,0,0,0,0,0.02,0.1,0,7,5.4,70.8,0.4,14.9,14.89
637,Jordan Love,GB,QB,2,ATL,19.2,31.2,218.6,1.4,0.7,3.7,15.4,0.1,0,0,0,0,14.9,14.88
637,Saquon Barkley,NYG,RB,17,LAR,0,0,0,0,0,17.7,70.5,0.4,4,3,20.3,0.1,14.9,14.88
637,Michael Pittman Jr.,IND,WR,10,NE,0,0,0,0,0,0.2,0.8,0,8,6,64,0.4,14.9,14.88
640,Kirk Cousins,MIN,QB,7,SF,23.7,37,248.1,1.5,0.8,1.8,5.5,0.1,0,0,0,0,14.9,14.87
640,Raheem Mostert,MIA,RB,8,NE,0,0,0,0,0,14.5,70.4,0.6,3.1,2.4,14.3,0.1,14.9,14.87
640,Travis Etienne Jr.,JAX,RB,15,BAL,0,0,0,0,0,14.4,61.9,0.5,3.6,2.9,23.8,0.1,14.9,14.87
640,Tony Pollard,DAL,RB,5,SF,0,0,0,0,0,15.4,65.6,0.5,4.1,3.1,18.1,0.1,14.9,14.87
644,Matthew Stafford,LAR,QB,11,SEA,20.8,32.7,238.1,1.5,0.8,1.5,5.4,0.1,0,0,0,0,14.9,14.86
644,Baker Mayfield,TB,QB,2,CHI,20.9,33.4,231.9,1.5,0.8,2.8,9.8,0.1,0,0,0,0,14.9,14.86
646,Jonathan Taylor,IND,RB,16,ATL,0,0,0,0,0,18.2,70.2,0.5,3.5,2.7,19.3,0.1,14.8,14.85
646,Mike Evans,TB,WR,18,CAR,0,0,0,0,0,0.02,0.1,0,7.4,4.5,67.4,0.6,14.8,14.85
648,C.J. Stroud,HOU,QB,4,PIT,21.1,34.7,244,1.3,0.8,3.1,12.8,0.1,0,0,0,0,14.8,14.84
648,Kenny Pickett,PIT,QB,4,HOU,20.3,32,219.2,1.3,0.8,3.4,14.7,0.2,0,0,0,0,14.8,14.84
650,Joe Burrow,CIN,QB,3,LAR,19.5,27.3,214.5,1.6,0.6,1.9,6.5,0.1,0,0,0,0,14.8,14.83
651,Jaylen Waddle,MIA,WR,11,LV,0,0,0,0,0,0.3,1.8,0,6.8,5.2,70.4,0.4,14.8,14.82
652,Davante Adams,LV,WR,14,MIN,0,0,0,0,0,0.02,0.1,0,7.3,5.5,69,0.4,14.8,14.81
653,Jimmy Garoppolo,LV,QB,6,NE,22.1,33.4,241.6,1.5,0.9,2.8,7.4,0.1,0,0,0,0,14.8,14.8
653,Tony Pollard,DAL,RB,18,WAS,0,0,0,0,0,14.3,62,0.5,3.7,3.1,21,0.1,14.8,14.8
655,Puka Nacua,LAR,WR,7,PIT,0,0,0,0,0,0.2,0.7,0,7.8,5.6,67.2,0.4,14.8,14.79
656,Saquon Barkley,NYG,RB,18,PHI,0,0,0,0,0,17.9,69.7,0.4,4.6,3,20.1,0.1,14.8,14.78
656,Bijan Robinson,ATL,RB,15,CAR,0,0,0,0,0,15.1,64.7,0.4,4.7,3.1,24.1,0.1,14.8,14.78
656,Brandon Aiyuk,SF,WR,13,PHI,0,0,0,0,0,0.2,1,0,6.6,4.9,73.8,0.4,14.8,14.78
659,Baker Mayfield,TB,QB,6,DET,22.5,35.7,236,1.4,0.9,3.8,13.2,0.1,0,0,0,0,14.8,14.76
659,Taylor Heinicke,ATL,QB,10,ARI,20,31.3,225.2,1.3,0.9,3.4,15.5,0.2,0,0,0,0,14.8,14.76
659,Saquon Barkley,NYG,RB,11,WAS,0,0,0,0,0,18.4,72.5,0.4,3.8,3,17.1,0.1,14.8,14.76
659,Deebo Samuel Sr.,SF,WR,14,SEA,0,0,0,0,0,2.7,16.6,0.1,5.5,4.4,59,0.4,14.8,14.76
659,DJ Moore,CHI,WR,17,ATL,0,0,0,0,0,0.5,2.5,0,8.4,5.1,70.1,0.4,14.8,14.76
659,Stefon Diggs,BUF,WR,18,MIA,0,0,0,0,0,0.05,0.2,0,8.2,5.8,65.4,0.4,14.8,14.76
665,DeVonta Smith,PHI,WR,5,LAR,0,0,0,0,0,0.02,0.1,0,6.9,5.4,69.4,0.4,14.8,14.75
666,Mike Evans,TB,WR,15,GB,0,0,0,0,0,0.05,0.2,0,7.7,4.7,70.2,0.5,14.7,14.74
666,Garrett Wilson,NYJ,WR,1,BUF,0,0,0,0,0,0.3,1.3,0,8,5.5,69.1,0.4,14.7,14.74
668,Tony Pollard,DAL,RB,17,DET,0,0,0,0,0,14.1,55.5,0.5,4.3,3.4,23.8,0.1,14.7,14.73
668,Nico Collins,HOU,WR,14,NYJ,0,0,0,0,0,0,0,0,6.9,5.2,71.3,0.4,14.7,14.73
668,Ja'Marr Chase,CIN,WR,17,KC,0,0,0,0,0,0.2,0.8,0,8.5,5.4,68.5,0.4,14.7,14.73
668,DeVonta Smith,PHI,WR,2,MIN,0,0,0,0,0,0.1,0.2,0,7.3,5.4,71.1,0.4,14.7,14.73
672,Tony Pollard,DAL,RB,10,NYG,0,0,0,0,0,15.3,67.4,0.5,3.6,2.9,16.7,0.1,14.7,14.71
672,Rachaad White,TB,RB,13,CAR,0,0,0,0,0,15.9,64,0.4,4.5,3.4,21.1,0.1,14.7,14.71
674,Kenny Pickett,PIT,QB,1,SF,20.5,32.5,217.2,1.2,0.8,4.1,18.1,0.2,0,0,0,0,14.7,14.7
674,Jaren Hall,MIN,QB,17,GB,20.5,33.1,220.4,1.3,1,4.2,18.8,0.2,0,0,0,0,14.7,14.7
674,Kyren Williams,LAR,RB,14,BAL,0,0,0,0,0,17.5,70.9,0.4,4.6,3.1,17.1,0.1,14.7,14.7
674,Davante Adams,LV,WR,16,KC,0,0,0,0,0,0.02,0.1,0,9.4,5.5,67.9,0.4,14.7,14.7
678,Travis Etienne Jr.,JAX,RB,17,CAR,0,0,0,0,0,14.3,63.4,0.5,3.5,2.8,21.5,0.1,14.7,14.69
678,Aaron Jones,GB,RB,11,LAC,0,0,0,0,0,13.2,57.4,0.4,4.3,3.4,21.5,0.2,14.7,14.69
678,Breece Hall,NYJ,RB,16,WAS,0,0,0,0,0,11.7,49.3,0.3,5.7,4.2,33.6,0.1,14.7,14.69
681,Derek Carr,NO,QB,2,CAR,20.7,30.8,242.4,1.5,0.7,1.6,5.8,0,0,0,0,0,14.7,14.68
681,James Cook,BUF,RB,18,MIA,0,0,0,0,0,14.5,63.2,0.3,3.7,3,25.6,0.2,14.7,14.68
681,Tank Dell,HOU,WR,13,DEN,0,0,0,0,0,0.7,2.8,0,6.5,4.9,65,0.5,14.7,14.68
681,Chris Olave,NO,WR,3,GB,0,0,0,0,0,0.1,0.1,0,7.6,5.2,72.7,0.4,14.7,14.68
685,Rachaad White,TB,RB,12,IND,0,0,0,0,0,13.7,54.9,0.4,4.9,3.8,25.8,0.1,14.7,14.67
685,Chris Olave,NO,WR,2,CAR,0,0,0,0,0,0.1,0.1,0,7.5,5.1,73.6,0.4,14.7,14.67
687,Rachaad White,TB,RB,14,ATL,0,0,0,0,0,15.1,59.6,0.4,4.8,3.6,23,0.1,14.7,14.66
687,Davante Adams,LV,WR,15,LAC,0,0,0,0,0,0.1,0.5,0,9.6,5.6,66.1,0.4,14.7,14.66
689,Baker Mayfield,TB,QB,1,MIN,22.5,36.6,244,1.4,0.9,2.6,8.8,0.1,0,0,0,0,14.6,14.64
689,Bijan Robinson,ATL,RB,13,NYJ,0,0,0,0,0,15.2,64.2,0.4,4.4,3,18.2,0.2,14.6,14.64
689,Tony Pollard,DAL,RB,15,BUF,0,0,0,0,0,13.6,60,0.4,3.9,3.4,24.4,0.1,14.6,14.64
692,Jahmyr Gibbs,DET,RB,18,MIN,0,0,0,0,0,11.7,56.2,0.4,4.7,3.7,25.1,0.1,14.6,14.63
692,Davante Adams,LV,WR,11,MIA,0,0,0,0,0,0.1,0.3,0,8.3,5.6,68,0.4,14.6,14.63
692,Michael Pittman Jr.,IND,WR,4,LAR,0,0,0,0,0,0.2,1.2,0,8.6,6,63.1,0.4,14.6,14.63
695,Jaylen Waddle,MIA,WR,8,NE,0,0,0,0,0,0.1,1.1,0,6.9,5.1,70.1,0.4,14.6,14.62
696,DeVonta Smith,PHI,WR,3,TB,0,0,0,0,0,0.1,0.2,0,7.2,5.2,71.9,0.4,14.6,14.61
697,Davante Adams,LV,WR,12,KC,0,0,0,0,0,0.1,0.1,0,8.1,5.5,66.9,0.4,14.6,14.6
698,Gardner Minshew II,IND,QB,17,LV,21.5,33,223.2,1.3,0.7,3,10.6,0.2,0,0,0,0,14.6,14.59
698,Breece Hall,NYJ,RB,17,CLE,0,0,0,0,0,11.6,46.5,0.3,6.2,4.4,33.4,0.1,14.6,14.59
698,Mike Evans,TB,WR,12,IND,0,0,0,0,0,0.02,0.1,0,6.5,4.7,68.8,0.5,14.6,14.59
701,Sam Darnold,SF,QB,18,LAR,18.8,29.5,208.3,1.4,0.8,4.4,12.5,0.2,0,0,0,0,14.6,14.58
701,Brandon Aiyuk,SF,WR,8,CIN,0,0,0,0,0,0.2,1,0,6.6,4.9,71.8,0.4,14.6,14.58
701,Calvin Ridley,JAX,WR,6,IND,0,0,0,0,0,0.3,1.3,0,7.3,5.3,67.5,0.4,14.6,14.58
704,Derek Carr,NO,QB,10,MIN,22.4,33.4,236,1.4,0.7,1.7,5.3,0.1,0,0,0,0,14.6,14.57
705,Brock Purdy,SF,QB,1,PIT,19,29.1,226.4,1.5,0.7,2.6,7,0.1,0,0,0,0,14.6,14.56
705,Jake Browning,CIN,QB,17,KC,22.5,34.2,242.1,1.3,0.9,2.8,10.8,0.1,0,0,0,0,14.6,14.56
705,Kenny Pickett,PIT,QB,3,LV,21.4,32.8,221.7,1.2,0.8,3.4,14.9,0.2,0,0,0,0,14.6,14.56
705,Adam Thielen,CAR,WR,12,TEN,0,0,0,0,0,0.02,0.1,0,8.3,6,61.5,0.4,14.6,14.56
709,Bijan Robinson,ATL,RB,9,MIN,0,0,0,0,0,13.7,56.4,0.4,4.6,3.3,22.1,0.2,14.6,14.55
709,Puka Nacua,LAR,WR,16,NO,0,0,0,0,0,0.4,2.1,0,7.8,5.2,67.4,0.4,14.6,14.55
709,Christian Kirk,JAX,WR,6,IND,0,0,0,0,0,0.3,1.4,0,6.9,5.5,65.1,0.4,14.6,14.55
712,Tony Pollard,DAL,RB,14,PHI,0,0,0,0,0,13.9,58.4,0.4,4.3,3.4,19,0.2,14.5,14.54
712,Jahmyr Gibbs,DET,RB,16,MIN,0,0,0,0,0,11.1,49.3,0.4,4.7,3.6,26.1,0.2,14.5,14.54
712,Ezekiel Elliott,NE,RB,17,BUF,0,0,0,0,0,14.9,51.6,0.3,5.5,3.9,26.8,0.2,14.5,14.54
715,Jordan Love,GB,QB,12,DET,19.4,31.9,226.2,1.4,0.9,3.2,14.8,0.1,0,0,0,0,14.5,14.53
715,Kenneth Walker III,SEA,RB,18,ARI,0,0,0,0,0,16,73.1,0.6,2.1,1.8,14.2,0.1,14.5,14.53
715,Raheem Mostert,MIA,RB,12,NYJ,0,0,0,0,0,15.5,69.3,0.6,3.1,2.2,14,0.1,14.5,14.53
718,Zack Moss,IND,RB,15,PIT,0,0,0,0,0,17.1,67.7,0.5,3.9,2.5,18.5,0.1,14.5,14.52
719,Baker Mayfield,TB,QB,3,PHI,22.2,35.5,233.2,1.4,0.9,3.3,11.8,0.1,0,0,0,0,14.5,14.51
719,DJ Moore,CHI,WR,12,MIN,0,0,0,0,0,0.5,1.9,0,7.2,5,71.2,0.4,14.5,14.51
721,DJ Moore,CHI,WR,15,CLE,0,0,0,0,0,0.9,4.7,0,7.9,4.9,67.3,0.4,14.5,14.5
722,Isiah Pacheco,KC,RB,12,LV,0,0,0,0,0,15.9,67.4,0.5,3.5,2.7,16.5,0.1,14.5,14.49
722,Mike Evans,TB,WR,13,CAR,0,0,0,0,0,0.02,0.1,0,6.6,4.7,67.8,0.5,14.5,14.49
722,Chris Olave,NO,WR,16,LAR,0,0,0,0,0,0.02,0.1,0,8.2,5.1,69.8,0.4,14.5,14.49
725,Brock Purdy,SF,QB,6,CLE,17.5,28.2,221.1,1.4,0.5,2.6,6.4,0.1,0,0,0,0,14.5,14.48
725,Tony Pollard,DAL,RB,11,CAR,0,0,0,0,0,14.8,63.6,0.5,3.8,2.9,18.2,0.1,14.5,14.48
725,Garrett Wilson,NYJ,WR,9,LAC,0,0,0,0,0,0.4,1.8,0,7.8,5.2,67,0.4,14.5,14.48
725,DeVonta Smith,PHI,WR,4,WAS,0,0,0,0,0,0.1,0.2,0,7.1,5.3,69.6,0.4,14.5,14.48
729,Ja'Marr Chase,CIN,WR,13,JAX,0,0,0,0,0,0.2,0.9,0,7.7,5.6,69.8,0.3,14.5,14.47
729,T.J. Hockenson,MIN,TE,12,CHI,0,0,0,0,0,0,0,0,8,6.1,59.7,0.4,14.5,14.47
731,Michael Pittman Jr.,IND,WR,9,CAR,0,0,0,0,0,0.2,0.8,0,7.7,5.7,62.8,0.4,14.5,14.46
732,Derek Carr,NO,QB,8,IND,22.4,33.8,237.8,1.4,0.7,1.7,5.4,0.1,0,0,0,0,14.4,14.45
732,Josh Jacobs,LV,RB,10,NYJ,0,0,0,0,0,18.2,71.2,0.5,3.6,2.5,14.3,0.1,14.4,14.45
734,Derek Carr,NO,QB,17,TB,22.6,33.9,248.5,1.4,0.7,1.6,5,0,0,0,0,0,14.4,14.44
735,Javonte Williams,DEN,RB,11,MIN,0,0,0,0,0,17,68.8,0.5,3.3,2.7,14.4,0.1,14.4,14.42
735,Travis Etienne Jr.,JAX,RB,16,TB,0,0,0,0,0,14.7,59.8,0.4,3.9,3.1,25.4,0.1,14.4,14.42
735,Aaron Jones,GB,RB,1,CHI,0,0,0,0,0,13.3,63.6,0.3,4.1,3.3,19.6,0.2,14.4,14.42
735,Bijan Robinson,ATL,RB,17,CHI,0,0,0,0,0,13.3,54.1,0.3,4.8,3.5,27.1,0.2,14.4,14.42
735,Chris Olave,NO,WR,9,CHI,0,0,0,0,0,0.02,0.1,0,7.6,5.2,68.1,0.4,14.4,14.42
740,Trevor Lawrence,JAX,QB,7,NO,21.1,34,225.5,1.3,0.8,3.9,17.9,0.1,0,0,0,0,14.4,14.41
740,DJ Moore,CHI,WR,8,LAC,0,0,0,0,0,0.3,1.2,0,6.9,5,68.9,0.4,14.4,14.41
740,Zay Flowers,BAL,WR,8,ARI,0,0,0,0,0,0.5,2.7,0,6.9,5.3,64.4,0.4,14.4,14.41
743,Derek Carr,NO,QB,18,ATL,22.1,33.4,237,1.5,0.7,1.8,5.2,0,0,0,0,0,14.4,14.4
743,D'Andre Swift,PHI,RB,12,BUF,0,0,0,0,0,15.6,69.2,0.5,3.1,2.6,14.8,0.1,14.4,14.4
743,Joe Mixon,CIN,RB,14,IND,0,0,0,0,0,15.3,63.4,0.5,3.7,2.9,17.6,0.1,14.4,14.4
746,Jaylen Waddle,MIA,WR,4,BUF,0,0,0,0,0,0.3,1.5,0,6.8,4.7,73.4,0.4,14.4,14.39
746,DK Metcalf,SEA,WR,15,PHI,0,0,0,0,0,0.1,0.4,0,7.1,4.7,66.5,0.5,14.4,14.39
748,Derrick Henry,TEN,RB,4,CIN,0,0,0,0,0,18.4,77.4,0.6,2.5,1.8,14.4,0,14.4,14.38
748,D'Andre Swift,PHI,RB,8,WAS,0,0,0,0,0,14.6,69.8,0.4,3.9,3.1,15,0.1,14.4,14.38
748,James Cook,BUF,RB,17,NE,0,0,0,0,0,14,57.6,0.3,4.1,3.1,27.2,0.2,14.4,14.38
751,Derek Carr,NO,QB,12,ATL,22,33.4,232.9,1.4,0.7,1.3,4.5,0.1,0,0,0,0,14.4,14.37
751,Saquon Barkley,NYG,RB,7,WAS,0,0,0,0,0,17.5,67.9,0.4,4.2,3.1,16.8,0.1,14.4,14.37
751,Bijan Robinson,ATL,RB,8,TEN,0,0,0,0,0,14.1,54.5,0.4,4.8,3.4,21.2,0.2,14.4,14.37
754,Baker Mayfield,TB,QB,13,CAR,20.9,32.9,218.8,1.4,0.8,4,13.9,0.1,0,0,0,0,14.3,14.34
754,Kyren Williams,LAR,RB,3,CIN,0,0,0,0,0,14.3,58.6,0.5,4.2,2.9,15.8,0.2,14.3,14.34
754,Brandon Aiyuk,SF,WR,10,JAX,0,0,0,0,0,0.3,1.1,0,6.3,4.8,70.3,0.4,14.3,14.34
757,Sam Howell,WAS,QB,8,PHI,21.7,34.7,226.2,1.2,1,3.5,16.8,0.2,0,0,0,0,14.3,14.33
757,DeAndre Hopkins,TEN,WR,10,TB,0,0,0,0,0,0.2,0.6,0,6.5,4.9,69.7,0.4,14.3,14.33
757,Calvin Ridley,JAX,WR,4,ATL,0,0,0,0,0,0.02,0.1,0,7.3,5.2,69.2,0.4,14.3,14.33
760,Easton Stick,LAC,QB,18,KC,20.9,33.3,212.2,1.2,0.8,4.2,18.3,0.2,0,0,0,0,14.3,14.32
760,Aaron Jones,GB,RB,18,CHI,0,0,0,0,0,16.1,70.7,0.4,3.3,2.5,19.5,0.1,14.3,14.32
760,Austin Ekeler,LAC,RB,17,DEN,0,0,0,0,0,12.2,49.7,0.3,5.2,3.7,28.5,0.2,14.3,14.32
763,Gardner Minshew II,IND,QB,18,HOU,21.5,32.8,240.1,1.3,0.8,2.7,9.1,0.1,0,0,0,0,14.3,14.31
763,Jordan Love,GB,QB,3,NO,17.9,29.4,203.8,1.4,0.7,3.5,15.6,0.1,0,0,0,0,14.3,14.31
763,Ezekiel Elliott,NE,RB,16,DEN,0,0,0,0,0,16.5,59.7,0.3,5,3.6,25.4,0.1,14.3,14.31
766,Zamir White,LV,RB,18,DEN,0,0,0,0,0,19.3,76.7,0.4,3,2.3,15.3,0.1,14.3,14.3
766,Mike Evans,TB,WR,10,TEN,0,0,0,0,0,0.02,0.1,0,6.7,4.6,66.9,0.5,14.3,14.3
768,Jaylen Waddle,MIA,WR,2,NE,0,0,0,0,0,0.3,1.9,0,6.7,4.8,71,0.4,14.3,14.29
768,Chris Olave,NO,WR,13,DET,0,0,0,0,0,0.02,0.1,0,7,5.1,67.8,0.4,14.3,14.29
768,Adam Thielen,CAR,WR,11,DAL,0,0,0,0,0,0.02,0.1,0,7.9,6,60.8,0.4,14.3,14.29
771,Kyren Williams,LAR,RB,4,IND,0,0,0,0,0,14.6,57.2,0.5,4.6,3.3,18.6,0.1,14.3,14.28
771,Jahmyr Gibbs,DET,RB,11,CHI,0,0,0,0,0,12.5,52.7,0.4,4.7,3.9,23.1,0.1,14.3,14.28
771,Tee Higgins,CIN,WR,16,PIT,0,0,0,0,0,0.02,0.1,0,8.5,5.1,67.7,0.4,14.3,14.28
